DiseaseID	DiseaseName
MESH:C537465	Microphthalmia, syndromic 2
DOID:3690	Brachial plexus neuropathy
MESH:D008844	Micrognathism
MESH:D009134	Muscular Atrophy, Spinal
MESH:D017379	Hypertrophy, Left Ventricular
DOID:2842	Jervell-Lange Nielsen syndrome
MESH:C536457	Vohwinkel syndrome
MESH:D007662	Ketosis
MESH:C564835	Enhanced S-Cone Syndrome
DOID:10283	Prostate cancer
MESH:C567732	Brugada Syndrome 8
MESH:C562420	Brachydactyly, Type D
MESH:C567820	Febrile Convulsions, Familial, 3a
DOID:0080154	Short chain acyl-CoA dehydrogenase deficiency
MESH:C535459	Chudley-Mccullough syndrome
DOID:4998	Trichorhinophalangeal syndrome type II
MESH:D015792	Retinal Dysplasia
DOID:4977	Lymphedema
MESH:D002289	Carcinoma, Non-Small-Cell Lung
DOID:2861	Congenital nonspherocytic hemolytic anemia
MESH:C536025	Marshall syndrome
MESH:C567616	Split-Hand-Foot Malformation 6
MESH:D016403	Lymphoma, Large B-Cell, Diffuse
MESH:D015783	Aniridia
MESH:C565557	Gamma-Glutamylcysteine Synthetase Deficiency, Hemolytic Anemia due to
MESH:D007020	Hypoprothrombinemias
MESH:C536176	Dimauro disease
DOID:14764	Larsen syndrome
DOID:0111156	Spermatogenic failure 9
MESH:C564525	Dyserythropoietic Anemia with Thrombocytopenia
MESH:C565834	Beta Thalassemia, Dominant Inclusion Body Type
MESH:C567198	Microcephaly, Primary Autosomal Recessive, 7
ICD10:H536	Unspecified night blindness
MESH:D020514	Hypokalemic Periodic Paralysis
DOID:12930	Dilated cardiomyopathy
MESH:C564071	Pyruvate Dehydrogenase E1 Alpha Deficiency
MESH:D009103	Multiple Sclerosis
ICD10:E720	Disorders of amino-acid transport  unspecified
MESH:C562687	Lysinuric Protein Intolerance
MESH:C564093	Myopathy, X-Linked, with Excessive Autophagy
MESH:D058499	Retinal Dystrophies
DOID:0080436	Developmental and epileptic encephalopathy 4
ICD10:I2	Unstable angina
MESH:D002385	Cataplexy
DOID:0080361	Trimethylaminuria
ICD10:M4	Postural kyphosis  site unspecified
DOID:0112280	Spondyloepiphyseal dysplasia
MESH:D012791	Shy-Drager Syndrome
DOID:2001	Neuroma
MESH:D009393	Nephritis
MESH:C562638	Epidermolysis Bullosa With Congenital Localized Absence Of Skin And Deformity Of Nails
DOID:2786	Cerebellar disease
MESH:C563270	Macular Corneal Dystrophy, Type II
MESH:C566963	Atrial Septal Defect 4
ICD10:G5	Trigeminal neuralgia
DOID:0110720	Neuronal ceroid lipofuscinosis 4
MESH:C566769	Porphyria, Acute Intermittent, Nonerythroid Variant
MESH:D003414	Crigler-Najjar Syndrome
ICD10:M797	Fibromyalgia
MESH:D013683	Telangiectasia, Hereditary Hemorrhagic
DOID:11200	T cell deficiency
DOID:0080016	Spina bifida
DOID:3355	Fibrosarcoma
MESH:C537480	Miyoshi myopathy
MESH:C537380	Multiple synostoses syndrome 2
DOID:0080019	Metaphyseal dysplasia
MESH:C535895	Limb-girdle muscular dystrophy type 2A
MESH:C566448	Microphthalmia, Cataracts, and Iris Abnormalities
MESH:D006978	Hypertension, Renovascular
MESH:C567313	Leukodystrophy, Hypomyelinating, with Hypodontia and Hypogonadotropic Hypogonadism
DOID:9278	Hyperargininemia
DOID:14118	Familial lipoprotein lipase deficiency
DOID:0060094	Bone benign neoplasm
MESH:C562657	Dystonia, Dopa-Responsive, due to Sepiapterin Reductase Deficiency
MESH:C566718	Retinitis Pigmentosa 20
DOID:0060774	Congenital diarrhea
DOID:3369	Ewing sarcoma
DOID:0111256	hyperferritinemia-cataract syndrome
MESH:C563437	Retinitis Pigmentosa 17
DOID:0050469	Costello syndrome
MESH:C567031	Prostate Cancer, Hereditary, 9
MESH:C537709	Hermansky Pudlak syndrome 2
MESH:D005923	Glomerulosclerosis, Focal Segmental
DOID:4450	Renal cell carcinoma
ICD10:Q770	Achondrogenesis
MESH:D005955	Glucosephosphate Dehydrogenase Deficiency
MESH:C537104	Branchiootic syndrome
MESH:C567064	Phosphoribosylpyrophosphate Synthetase Superactivity
MESH:C566441	Microphthalmia, Syndromic 5
ICD10:G93	Cerebral cysts
DOID:1612	Breast cancer
DOID:0050117	Disease by infectious agent
MESH:C563593	Melorheostosis with Osteopoikilosis
DOID:0060239	Van der Woude syndrome
MESH:D000312	Adrenal Hyperplasia, Congenital
MESH:C548033	Medullary Cystic Kidney Disease 2
DOID:0111254	Glutaric acidemia I
DOID:0070330	Multiple mitochondrial dysfunctions syndrome
DOID:0050585	Congenital generalized lipodystrophy
MESH:C563747	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions, Autosomal Dominant, 3
DOID:14004	Thoracic aortic aneurysm
MESH:D017285	Polymyositis
MESH:C562476	Hematuria, Benign Familial
ICD10:E21	Primary hyperparathyroidism
DOID:0050721	Serine deficiency
MESH:D006958	Hyperostosis, Cortical, Congenital
MESH:D017085	alpha-Thalassemia
MESH:C567234	Mental Retardation, Autosomal Dominant 5
MESH:C562646	Hypophosphatasia, Infantile
MESH:C536197	Ehlers-Danlos syndrome type 5
MESH:C567647	Hypophosphatemic Rickets, Autosomal Recessive, 2
ICD10:Q934	Deletion of short arm of chromosome 5
MESH:C563004	Pyropoikilocytosis, Hereditary
MESH:D054000	Nevus, Sebaceous of Jadassohn
MESH:C538374	Hyperinsulinemic hypoglycemia, familial, 3
MESH:C536644	Spastic paraplegia 17
ICD10:I879	Disorder of vein  unspecified
DOID:182	Calcinosis
DOID:0050161	Lower respiratory tract disease
DOID:0060827	X-linked intellectual disability-psychosis-macroorchidism syndrome
DOID:0060794	Hypomyelinating leukodystrophy 7 with or without oligodontia and-or hypogonadotropic hypogonadism
DOID:4960	Bone marrow cancer
MESH:D009404	Nephrotic Syndrome
MESH:D012004	Rectal Neoplasms
MESH:C535934	Cholestasis, progressive familial intrahepatic 2
MESH:D057896	Striae Distensae
ICD10:M34	Progressive systemic sclerosis
DOID:612	Primary immunodeficiency disease
ICD10:Q743	Arthrogryposis multiplex congenita
DOID:1319	Brain cancer
MESH:C563294	Cataract, Congenital, Cerulean Type, 2
DOID:520	Aortic disease
ICD10:D48	Neoplasm of uncertain behavior of bone/artic cartl
ICD10:I495	Sick sinus syndrome
AmyCo:22	Apolipoprotein A-II associated Amyloidosis
DOID:0080366	Desmoid tumor
MESH:C565101	Maturity-Onset Diabetes of the Young, Type 1
MESH:C563306	Cardiomyopathy, Dilated, 1D
MESH:C563939	Hirschsprung Disease, Cardiac Defects, and Autonomic Dysfunction
MESH:C566170	Cardiomyopathy, Familial Hypertrophic, 3
DOID:0112317	Schindler disease
DOID:0080677	Otospondylomegaepiphyseal dysplasia, autosomal dominant
DOID:0060038	Specific developmental disorder
MESH:C566973	Dystonia, Focal, Task-Specific
MESH:D002769	Cholelithiasis
MESH:D011649	Pulmonary Alveolar Proteinosis
ICD10:D800	Hereditary hypogammaglobulinemia
MESH:D001250	Asthma, Exercise-Induced
MESH:D029503	Anemia, Diamond-Blackfan
MESH:D003117	Color Vision Defects
ICD10:L2	Besnier's prurigo
MESH:C567633	Emery-Dreifuss Muscular Dystrophy, Atypical, Autosomal Recessive
DOID:0080299	Partial lipodystrophy
MESH:D004437	Ebstein Anomaly
DOID:9974	Drug dependence
MESH:C563948	Spinal Muscular Atrophy, Type IV
MESH:D030321	Denys-Drash Syndrome
DOID:4897	Bile duct carcinoma
MESH:C537737	Oculomelic amyoplasia
DOID:9098	Sebaceous gland disease
DOID:0050433	Fatal familial insomnia
DOID:0050828	Artery disease
MESH:C562727	Dysfibrinogenemia, Congenital
MESH:C536181	Ectodermal dysplasia, hypohidrotic, with immune deficiency
MESH:C536937	Ulnar-mammary syndrome
MESH:C536116	Nicolaides Baraitser syndrome
MESH:D004410	Dyslexia
MESH:C563557	Facioscapulohumeral Muscular Dystrophy 1B
AmyCo:26	Apolipoprotein C-III associated Amyloidosis
ICD10:G114	Hereditary spastic paraplegia
MESH:D008180	Lupus Erythematosus, Systemic
MESH:C536404	Nephrotic syndrome, idiopathic, steroid-resistant
DOID:0080883	Vitamin D-dependent rickets
MESH:D006250	Hartnup Disease
MESH:C566136	Charcot-Marie-Tooth Disease, Demyelinating, Type 1e
DOID:0060768	Smith-Magenis syndrome
MESH:C563677	Spastic Paraplegia 30, Autosomal Recessive
MESH:C564463	Amelogenesis Imperfecta, Hypomaturation Type, with Snow-Capped Teeth
MESH:C562602	Glucose-Galactose Malabsorption
MESH:D053307	Hyper-IgM Immunodeficiency Syndrome, Type 1
MESH:C567260	Neutropenia, Severe Congenital, Autosomal Recessive 4
MESH:C536928	Turcot syndrome
MESH:C535387	Arthropathy, progressive pseudorheumatoid, of childhood
DOID:0111627	DOORS syndrome
DOID:0050800	Creatine transporter deficiency
MESH:C563327	Deafness, Autosomal Recessive 12
DOID:0090123	Aromatic L-amino acid decarboxylase deficiency
DOID:14330	Parkinson's disease
DOID:655	Inherited metabolic disorder
MESH:D017237	Mitochondrial Encephalomyopathies
MESH:C565360	MASP2 Deficiency
MESH:D008265	Macrostomia
DOID:3310	Atopic dermatitis
MESH:C565833	Autoimmune Lymphoproliferative Syndrome, Type IIA
MESH:C538152	Filippi syndrome
MESH:D054877	Wolf-Hirschhorn Syndrome
ICD10:N429	Disorder of prostate  unspecified
ICD10:K831	Obstruction of bile duct
MESH:D000474	Alkaptonuria
DOID:14503	Neuronal ceroid lipofuscinosis
DOID:3996	Urinary system cancer
MESH:D012148	Restless Legs Syndrome
DOID:10584	Retinitis pigmentosa
MESH:D056784	Leukoencephalopathies
DOID:0060901	Waldenstroem's macroglobulinemia
AmyCo:8	Immunoglobulin light chain (AL) amyloidosis
MESH:C562864	Myeloperoxidase Deficiency
MESH:D054868	Jacobsen Distal 11q Deletion Syndrome
MESH:C562791	Hypophosphatemic Rickets, Autosomal Dominant
ICD10:E789	Disorder of lipoprotein metabolism  unspecified
MESH:C538228	Adenine phosphoribosyltransferase deficiency
MESH:C537583	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
MESH:C565384	Microcephaly, Primary Autosomal Recessive, 1
MESH:C557815	Deficiency of interleukin-1 receptor antagonist
MESH:C538241	Amelogenesis imperfecta nephrocalcinosis
MESH:D010855	Pierre Robin Syndrome
MESH:C537150	Hypoglycemia, leucine-induced
MESH:D013226	Status Epilepticus
MESH:D015518	Rett Syndrome
MESH:C565942	Arterial Tortuosity Syndrome
DOID:0050654	Baller-Gerold syndrome
MESH:C535984	Congenital bilateral aplasia of vas deferens
MESH:C567404	Epileptic Encephalopathy, Early Infantile, 4
DOID:120	Female reproductive organ cancer
ICD10:G540	Brachial plexus disorders
DOID:2749	Glycogen storage disease I
DOID:0111474	Combined oxidative phosphorylation deficiency 1
DOID:14793	Hypohidrotic ectodermal dysplasia
DOID:14693	Clouston syndrome
ICD10:N3	Acute cystitis without hematuria
DOID:14448	46,XY sex reversal
MESH:D008595	Menorrhagia
MESH:D020385	Myokymia
DOID:9252	Amino acid metabolic disorder
DOID:0090048	Dystonia 16
MESH:C537404	Pituitary dwarfism 1
MESH:D003965	Diaphragmatic Eventration
MESH:D007024	Hypotension, Orthostatic
MESH:D017719	Diabetic Foot
MESH:C562968	Spondyloepimetaphyseal Dysplasia With Joint Laxity
MESH:C565784	Cardioencephalomyopathy, Fatal Infantile, due to Cytochrome C Oxidase Deficiency
MESH:C537915	Chondrodysplasia, Grebe type
MESH:D006975	Hypertension, Portal
MESH:C567835	Cataract, Autosomal Recessive Congenital 3
MESH:C566468	Combined Oxidative Phosphorylation Deficiency 2
ICD10:C75	Malignant neoplasm of parathyroid gland
DOID:8692	Myeloid leukemia
MESH:D006014	Glycogen Storage Disease Type VII
DOID:2935	Chediak-Higashi syndrome
MESH:D009508	Nevus, Pigmented
MESH:C538104	Pallidopyramidal syndrome
MESH:D009896	Optic Atrophy
MESH:C562730	Adenocarcinoma Of Esophagus
DOID:4896	Bile duct adenocarcinoma
MESH:C567258	Hypoadiponectinemia
DOID:0080307	Myofibrillar myopathy
DOID:14323	Marfan syndrome
MESH:D006849	Hydrocephalus
MESH:C536390	Donnai-Barrow syndrome
MESH:C563657	Fanconi Anemia, Complementation Group N
MESH:D034701	Mastocytosis, Cutaneous
MESH:C537563	Jankovic Rivera syndrome
MESH:C563669	Deafness, Autosomal Recessive 68
MESH:C536573	Boomerang dysplasia
DOID:0111456	Kaufman oculocerebrofacial syndrome
MESH:C537934	Finnish lethal neonatal metabolic syndrome
DOID:9870	Galactosemia
MESH:C536291	Immunoglobulin a deficiency 2
MESH:C567438	Thrombocytopenia 4
DOID:0111359	Large congenital melanocytic nevus
DOID:0050636	Familial visceral amyloidosis
MESH:C562378	Hepatic Fibrosis, Congenital
MESH:D003329	Coronary Vasospasm
MESH:D012162	Retinal Degeneration
MESH:D004940	Esophageal Stenosis
MESH:D010505	Familial Mediterranean Fever
DOID:0080699	Glutathione synthetase deficiency
MESH:D001883	Borderline Personality Disorder
MESH:D014681	Velopharyngeal Insufficiency
MESH:C567791	Neurodegeneration Due To Cerebral Folate Transport Deficiency
DOID:11727	Facioscapulohumeral muscular dystrophy
ICD10:C840	Mycosis fungoides  unspecified site
DOID:4810	Cerebrotendinous xanthomatosis
MESH:C567040	Congenital Disorder Of Glycosylation, Type IIF
DOID:2559	Opiate dependence
MESH:C537168	Papillorenal syndrome
DOID:9538	Multiple myeloma
MESH:C537651	Bartter syndrome, antenatal , type 2
MESH:C567710	Weill-Marchesani-Like Syndrome
DOID:9352	Type 2 diabetes mellitus
MESH:D006210	Hallermann's Syndrome
MESH:C538331	Naegeli syndrome
MESH:C537756	Renal hepatic pancreatic dysplasia Dandy Walker cyst
MESH:C535423	Charcot-Marie-Tooth disease, Type 4C
MESH:D050177	Overweight
MESH:C563866	Cardiomyopathy, Familial Hypertrophic, 8
DOID:0050534	Congenital stationary night blindness
DOID:0080712	Gene duplication disease
MESH:C566951	Deafness, Autosomal Recessive 63
DOID:3342	Bone inflammation disease
DOID:417	Autoimmune disease
ICD10:G1	Huntington's disease
MESH:D004830	Epilepsy, Tonic-Clonic
MESH:C536943	NOG-Related-Symphalangism Spectrum Disorder
DOID:8943	Lattice corneal dystrophy
ICD10:Q851	Tuberous sclerosis
DOID:13481	Thanatophoric dysplasia
DOID:5768	Nager acrofacial dysostosis
MESH:D015431	Weight Loss
MESH:D012587	Scimitar Syndrome
MESH:C538363	Retinal cone dystrophy 2
DOID:1339	Diamond-Blackfan anemia
MESH:C537533	Seckel syndrome 1
MESH:D010610	Pharyngeal Neoplasms
MESH:D007676	Kidney Failure, Chronic
DOID:0080165	Myeloid and lymphoid neoplasms associated with PDGFRA rearrangement
ICD10:Q447	Other congenital malformation of liver  unspecified
MESH:C535503	Epiphyseal dysplasia, multiple, 3
MESH:D001778	Blood Coagulation Disorders
MESH:D065646	Thyroid Carcinoma, Anaplastic
MESH:C567393	Maturity-Onset Diabetes Of The Young, Type 9
DOID:0111414	Trichohepatoenteric syndrome
MESH:C564554	Terminal Osseous Dysplasia and Pigmentary Defects
ICD10:Q754	Mandibulofacial dysostosis
DOID:0060056	Hypersensitivity reaction disease
MESH:C567707	Spastic Paraplegia 44, Autosomal Recessive
MESH:C536399	Nephroblastomatosis, fetal ascites, macrosomia and Wilms tumor
DOID:3883	Lynch syndrome
MESH:D004829	Epilepsy, Generalized
MESH:D006394	Hemangiosarcoma
DOID:0050736	Autosomal dominant disease
MESH:D001471	Barrett Esophagus
MESH:C564013	Deafness, Aminoglycoside-Induced
MESH:D028243	Cerebral Amyloid Angiopathy, Familial
ICD10:N329	Bladder disorder  unspecified
MESH:D010996	Pleural Effusion
MESH:C567751	Hypotrichosis And Recurrent Skin Vesicles
MESH:C567685	Colorectal Cancer, Hereditary Nonpolyposis, Type 8
MESH:C564484	Holoprosencephaly, Ectrodactyly, and Bilateral Cleft Lip-Palate
MESH:C535703	Malouf syndrome
DOID:2736	Hajdu-Cheney syndrome
MESH:C566464	Holoprosencephaly 5
DOID:0060295	Complement component 2 deficiency
DOID:9588	Encephalitis
DOID:854	Collagen disease
MESH:C564400	Arrhythmogenic Right Ventricular Dysplasia, Familial, 8
MESH:D007970	Leukopenia
MESH:C537236	Sarcosinemia
DOID:2352	Hemochromatosis
DOID:0080209	Sideroblastic anemia with B-cell immunodeficiency, periodic fevers, and developmental delay
MESH:C536632	Schinzel-Giedion syndrome
MESH:D007248	Infertility, Male
MESH:C567509	Brugada Syndrome 3
MESH:C562776	Hyperproinsulinemia
DOID:12377	Spinal muscular atrophy
DOID:0111678	Hereditary folate malabsorption
MESH:C537308	Spinocerebellar ataxia, autosomal recessive 1
DOID:0080127	Mitochondrial DNA depletion syndrome 8a
ICD10:I7	Atherosclerosis of aorta
MESH:C565918	Bardet-Biedl Syndrome 9
MESH:C538064	Frontometaphyseal dysplasia
MESH:D014402	Tuberous Sclerosis
MESH:D004916	Erythromelalgia
MESH:D013103	Spherocytosis, Hereditary
MESH:C567855	Cutis Laxa, Autosomal Recessive, Type IIB
MESH:C567045	Coronary Artery Disease, Autosomal Dominant 2
MESH:C564485	Glycogen Storage Disease, Type IXD
ICD10:C880	Waldenstrom macroglobulinemia
ICD10:E28	Estrogen excess
ICD10:K599	Functional intestinal disorder  unspecified
DOID:9275	Tyrosinemia
ICD10:O723	Postpartum coagulation defects
MESH:C567283	Pyloric Stenosis, Infantile Hypertrophic, 5
MESH:C566637	Retinitis Pigmentosa 19
MESH:C567456	Prostate Cancer, Hereditary, 13
MESH:C537004	Leigh syndrome , French Canadian type
MESH:C564732	Xeroderma Pigmentosum, Complementation Group E
MESH:D002779	Cholestasis
DOID:0060354	Stormorken syndrome
MESH:D006967	Hypersensitivity
MESH:D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
MESH:D000567	Amelogenesis Imperfecta
MESH:C567485	Mental Retardation, X-Linked, With Panhypopituitarism
DOID:0050813	Spondyloepiphyseal dysplasia with congenital joint dislocations
DOID:0060536	Mitochondrial complex I deficiency
DOID:11724	limb-girdle muscular dystrophy
MESH:C535780	Spondylocarpotarsal synostosis
MESH:C557674	SeSAME syndrome
DOID:3856	Male reproductive organ cancer
MESH:C562618	Porphyria, Acute Hepatic
MESH:D013915	Thrombasthenia
ICD10:G96	Cerebrospinal fluid leak  unspecified
MESH:D000742	Anemia, Dyserythropoietic, Congenital
MESH:D018781	Tension-Type Headache
MESH:D018249	Adenoma, Oxyphilic
MESH:C535739	Congenital disorder of glycosylation type 1A
DOID:1289	Neurodegenerative disease
MESH:C567698	Cone-Rod Dystrophy 13
MESH:C563242	Intrinsic Factor Deficiency
DOID:0111704	Chromosome 2q37 deletion syndrome
MESH:D061325	Hereditary Breast and Ovarian Cancer Syndrome
MESH:C536252	Pyle disease
MESH:D017243	MERRF Syndrome
MESH:C537476	Mitochondrial myopathy with lactic acidosis
ICD10:Q78	Osteogenesis imperfecta
MESH:C535535	Iridogoniodysgenesis type1
MESH:C563614	Long Qt Syndrome 2
DOID:0050526	Gamstorp-Wohlfart syndrome
MESH:D013342	Stuttering
ICD10:E806	Other disorders of bilirubin metabolism
MESH:C535278	Primary ciliary dyskinesia, 3
MESH:C566856	Cardiomyopathy, Dilated, 1V
MESH:C567576	Rett Syndrome, Atypical
DOID:0110816	Hereditary spastic paraplegia 7
MESH:C537987	Charcot-Marie-Tooth disease, Type 1F
MESH:C537353	Metaphyseal chondrodysplasia Spahr type
MESH:D010040	Otosclerosis
DOID:0060609	Microcephalic osteodysplastic primordial dwarfism type II
DOID:0080195	Marinesco-Sjogren syndrome
DOID:9741	Biliary tract disease
MESH:C566592	Ectodermal Dysplasia, Pure Hair-Nail Type
MESH:C535601	Dosage-sensitive sex reversal
MESH:D016113	Ichthyosiform Erythroderma, Congenital
DOID:13250	Diarrhea
DOID:2218	Blood platelet disease
MESH:D008545	Melanoma
MESH:D004687	Enchondromatosis
MESH:C565327	Leber Congenital Amaurosis 6
DOID:987	Alopecia
MESH:C567475	Toe Syndactyly, Telecanthus, and Anogenital and Renal Malformations
ICD10:L30	Nummular dermatitis
MESH:C567316	Cardiomyopathy, Familial Restrictive, 3
ICD10:E83	Disorder of copper metabolism  unspecified
MESH:C567784	3-Hydroxy-3-Methylglutaryl-CoA Synthase 2 Deficiency
DOID:0111571	Weyers acrofacial dysostosis
MESH:C567426	Hypouricemia, Renal, 2
MESH:C567544	Sensorineural Deafness With Mild Renal Dysfunction
MESH:C565924	Atrichia with Papular Lesions
MESH:C537122	Opsismodysplasia
MESH:C567053	Vesicoureteral Reflux 2
MESH:D013921	Thrombocytopenia
DOID:10241	Thalassemia
DOID:2742	Auditory system disease
MESH:C536866	Spastic paraplegia 6, autosomal dominant
DOID:3627	Aortic aneurysm
ICD10:I350	Nonrheumatic aortic (valve) stenosis
MESH:D012415	Rubinstein-Taybi Syndrome
DOID:12802	Mucopolysaccharidosis I
DOID:9268	Glycine encephalopathy
MESH:C565334	Epilepsy, Nocturnal Frontal Lobe, Type 3
DOID:0111533	Gnathodiaphyseal dysplasia
MESH:C567758	Cone Dystrophy 4
AmyCo:73	Senile Seminal Vesicle Amyloidosis
MESH:D011014	Pneumonia
MESH:C537863	Ocular Albinism type 1
DOID:8125	Osteochondrosis
MESH:C535919	Charcot-Marie-Tooth disease, X-linked, 1
MESH:C538004	Dystonia musculorum deformans 4
DOID:4123	Nail disease
MESH:D058249	Birt-Hogg-Dube Syndrome
MESH:C537189	Rufous oculocutaneous albinism
MESH:D000347	Afibrinogenemia
DOID:0050561	Lennox-Gastaut syndrome
MESH:D001506	Beckwith-Wiedemann Syndrome
DOID:0112251	Ghosal hematodiaphyseal syndrome
DOID:0080102	Congenital fiber-type disproportion
ICD10:E77	Defects in post-translational mod of lysosomal enzymes
MESH:C567100	Mucolipidosis II Alpha Beta
MESH:C535541	Isobutyryl-CoA dehydrogenase deficiency
DOID:0110739	Neurodegeneration with brain iron accumulation 5
ICD10:C4	Malig neoplasm of scapula and long bones of unsp upper limb
DOID:305	Carcinoma
DOID:11720	Distal myopathy
DOID:0111799	Syndromic microphthalmia 1
MESH:D007945	Leukemia, Lymphoid
DOID:0050441	Mucosulfatidosis
MESH:C567037	Progressive Familial Heart Block, Type Ib
MESH:D007006	Hypogonadism
MESH:C566555	Desmosterolosis
MESH:C567643	Rhabdoid Tumor Predisposition Syndrome 2
MESH:D012208	Rhabdomyosarcoma
ICD10:I73	Raynaud's syndrome without gangrene
MESH:C536857	Spastic paraplegia 2, X-linked
MESH:D011565	Psoriasis
ICD10:Q11	Cystic eyeball
MESH:C537590	Severe combined immunodeficiency, atypical
MESH:C536133	Meckel syndrome type 1
MESH:C535347	Catel Manzke syndrome
MESH:C567162	Neuromuscular Disease, Congenital, With Uniform Type 1 Fiber
MESH:C565749	Ichthyosis, Nonlamellar and Nonerythrodermic, Congenital, Autosomal Recessive
DOID:0080683	Nonsyndromic congenital nail disorder
MESH:D014525	Urethral Stricture
MESH:D001176	Arthrogryposis
DOID:1060	Hartnup disease
DOID:5812	MHC class II deficiency
MESH:C562440	Hypophosphatasia, Childhood
ICD10:C9	Multiple myeloma not having achieved remission
DOID:0080445	Developmental and epileptic encephalopathy 13
DOID:3827	Congenital diaphragmatic hernia
MESH:C567365	Meckel Syndrome, Type 6
MESH:D018197	Hepatoblastoma
MESH:D002313	Cardiomyopathy, Restrictive
MESH:C535469	Coproporphyria
DOID:0090016	Chromosome 5q deletion syndrome
MESH:C562934	Myopathy, Centronuclear, Autosomal Recessive
DOID:0050461	Aspartylglucosaminuria
ICD10:C22	Liver cell carcinoma
MESH:C563753	Spinocerebellar Ataxia, Autosomal Recessive 7
MESH:D056725	von Willebrand Disease, Type 1
MESH:D015452	Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
DOID:0111276	Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis
MESH:D001037	Aphasia
MESH:C567561	Atrial Septal Defect 5
MESH:C536415	Primary hyperoxaluria type 2
ICD10:M257	Osteophyte  unspecified joint
DOID:403	Mouth disease
MESH:D054971	Orthostatic Intolerance
MESH:C562600	Lactase Deficiency, Congenital
DOID:3263	Piebaldism
DOID:0050704	Childhood electroclinical syndrome
MESH:D020896	Hypovolemia
ICD10:K004	Disturbances in tooth formation
MESH:C562950	Cleft Soft Palate
MESH:D001724	Birth Weight
MESH:C567464	Protoporphyria, Erythropoietic, X-Linked Dominant
MESH:C562710	Diabetes Mellitus, Insulin-Resistant, with Acanthosis Nigricans
DOID:6432	Pulmonary hypertension
MESH:D004381	Duodenal Ulcer
MESH:C535607	Aicardi-Goutieres syndrome
MESH:C563401	Choreoathetosis-Spasticity, Episodic
MESH:D003914	Dextrocardia
MESH:D006623	von Hippel-Lindau Disease
MESH:C565561	Friedreich Ataxia 1
DOID:440	Neuromuscular disease
MESH:C563796	Diabetes Mellitus, Permanent Neonatal, with Cerebellar Agenesis
MESH:D000309	Adrenal Insufficiency
DOID:4330	non-Langerhans-cell histiocytosis
DOID:0060390	Distal 10q deletion syndrome
DOID:0050955	Spinocerebellar ataxia type 2
DOID:11612	Polycystic ovary syndrome
MESH:C535393	Ataxia with vitamin E deficiency
MESH:C538154	Syndactyly, type 3
DOID:0060668	Anencephaly
ICD10:M30	Polyarteritis nodosa
DOID:865	Vasculitis
ICD10:I35	Nonrheumatic aortic (valve) stenosis
MESH:C564005	Vitamin D Hydroxylation-Deficient Rickets, Type 1B
MESH:C563673	Diarrhea 4, Malabsorptive, Congenital
MESH:C567066	Mental Retardation, X-Linked 93
MESH:D041761	Cholecystolithiasis
MESH:C535852	Heart-hand syndrome, Slovenian type
DOID:0111162	Epidermal nevus
MESH:D011225	Pre-Eclampsia
DOID:3331	Frontal lobe epilepsy
MESH:C579991	Chromosome 3-Linked Frontotemporal Dementia
MESH:D003123	Colorectal Neoplasms, Hereditary Nonpolyposis
DOID:0060404	Chromosome 17q12 deletion syndrome
MESH:C563579	Holoprosencephaly 2
MESH:C537653	Bartter syndrome, type 3
MESH:C535924	Chilblain lupus 1
MESH:D017789	Granuloma, Pyogenic
MESH:C567251	Inflammatory Bowel Disease 25, Autosomal Recessive
ICD10:J93	Spontaneous tension pneumothorax
MESH:C535522	Infantile convulsions and paroxysmal choreoathetosis, familial
MESH:C567174	Myokymia 1
DOID:0050774	Rapadilino syndrome
MESH:D015217	Cholesterol Ester Storage Disease
MESH:C535753	Congenital disorder of glycosylation type 2D
MESH:C536414	Primary hyperoxaluria type 1
MESH:C537182	Paroxysmal ventricular fibrillation
ICD10:Q99	Chimera 46  XX/46  XY
ICD10:K00	Anodontia
DOID:3168	Squamous cell neoplasm
MESH:C566358	Xanthinuria, Type II
MESH:D065705	Hemimegalencephaly
ICD10:G969	Disorder of central nervous system  unspecified
MESH:C538137	Hyperferritinemia, hereditary, with congenital cataracts
MESH:C535752	Congenital disorder of glycosylation type 2A
MESH:D006111	Graves Disease
MESH:C567202	Spherocytosis, Type 5
DOID:0050471	Carney complex
ICD10:D71	Functional disorders of polymorphonuclear neutrophils
ICD10:L63	Alopecia (capitis) totalis
MESH:D014820	Vitiligo
MESH:D014923	Wiskott-Aldrich Syndrome
ICD10:E73	Congenital lactase deficiency
MESH:C537995	Dysferlinopathy
MESH:C536490	Usher syndrome, type 2A
DOID:1532	Pleural disease
ICD10:D750	Familial erythrocytosis
MESH:C567115	Combined Cellular And Humoral Immune Defects With Granulomas
MESH:C566580	Deafness, Autosomal Recessive 18
MESH:D001251	Astigmatism
MESH:D020795	Photophobia
MESH:C536801	Telomeric 22q13 Monosomy Syndrome
ICD10:L5	Allergic urticaria
MESH:C537279	Goldberg-Shprintzen megacolon syndrome
MESH:D008175	Lung Neoplasms
MESH:C567730	Parkinsonism-Dystonia, Infantile
ICD10:Q211	Atrial septal defect  unspecified
MESH:D013851	Thinness
